County_States,2015_Tract_population,adjusted_hdi,unadjusted_hdi,unadjusted_income_index,adjusted_income_index,expect_edu_index,mean_edu_index,final_edu_index,le_index,Macroregion
"Atascosa County, TX",47050,313.3779197879639,832.9568297176662,917.7493593729859,926.4545671612908,826.8177352921966,742.6657972778959,784.7417662850463,903.0769230769232,South
"Atchison County, KS",16633,670.8180331059942,888.1066308955351,919.0705720987397,938.7242347226929,892.1307100946085,860.055253611873,876.0929818532408,891.2820512820509,Midwest
"Atchison County, MO",5440,881.8906052025295,875.9034367019975,951.9225004765831,971.576163100536,762.55496997835,848.9272161978756,805.7410930881125,876.153846153846,Midwest
"Athens County, OH",64974,904.2372642560828,897.5605681732982,881.2446117274952,900.8982743514485,975.3286602756532,912.1878087232816,943.7582344994677,874.8717948717948,Midwest
"Atkinson County, GA",8294,849.7571237926201,843.5694449715626,886.5768569689634,906.2305195929163,898.0743109373749,715.801386353162,806.9378486452687,839.4871794871797,South
"Atlantic County, NJ",275376,844.0461745693343,897.5652727817425,954.1625201961842,946.6486921246541,877.2914658575321,835.2307346943488,856.2611002759404,885.2950631458094,Northeast
"Atoka County, OK",13906,866.6490759036237,860.4406244489247,901.45580484145,921.1094674654038,814.8081789012094,798.7457202737243,806.776949587467,877.6923076923077,South
"Attala County, MS",19175,871.9297687529839,865.7509919304783,911.9642086768519,931.6178713008048,843.5807331785717,788.2830016800111,815.9318674292913,875.1282051282051,South
"Audrain County, MO",25783,866.7198371632633,860.5049869518243,900.8141109991273,920.4677736230808,808.3198771676083,802.6383780153616,805.4791275914852,878.9010989010991,Midwest
"Audubon County, IA",5869,906.382054334341,900.3536404528942,971.9512602132316,991.604922837185,866.6919742627716,831.2666280598037,848.9793011612874,884.6153846153848,Midwest
"Auglaize County, OH",45873,905.882763559424,899.6948054813248,946.1417726749631,965.795435298917,865.4726143977279,847.2989066462837,856.3857605220056,899.1608391608393,Midwest
"Augusta County, VA",74053,619.716268625438,888.9025752396473,952.099756310037,972.0979019370601,817.8190873775565,834.8538836593597,826.336485518458,900.3418803418803,South
"Aurora County, SD",2729,930.893441312468,924.56636039003,950.79814329777,970.451805921723,870.1760248067079,831.57321720196,850.874621004334,976.923076923077,Midwest
"Austin County, TX",28886,600.9400097755553,901.8352916902138,958.0852411342465,956.7318208484049,868.7265800999306,812.39454663246,840.5605633661953,906.153846153846,South
"Autauga County, AL",55221,657.5392353545653,871.447549323272,939.2276929937055,956.3224734553482,843.4209577050614,831.5997578214248,837.510357763243,845.0256410256409,South
"Avery County, NC",17695,902.8930131564751,896.5557539651243,921.1838434219342,940.8375060458877,906.302736178297,814.3317003732236,860.3172182757604,910.153846153846,South
"Avoyelles Parish, LA",41389,568.269136298959,846.4183345376522,909.5536653831989,929.2073280071519,832.5923356389417,756.4824711255501,794.5374033822459,837.0,South
"Baca County, CO",3701,899.4380858102325,893.1374971070707,922.051239665368,941.7049022893216,847.784024456092,828.6001685006,838.192096478346,923.076923076923,West
"Bacon County, GA",11222,837.4911878086617,831.4762064338216,899.4012019005755,919.054864524529,790.622741900005,782.318342984815,786.4705424424104,812.8205128205127,South
"Bailey County, TX",7126,0.0,,886.8821659930079,906.535828616961,795.735595478911,709.560362875087,752.647979176999,,South
"Baker County, FL",27135,870.4616306502651,868.4126899696562,913.8221822692808,920.3036062162167,868.9493551241753,797.9843267982775,833.4668409612262,860.7692307692307,South
"Baker County, GA",3292,889.8321218989134,883.6240268382705,926.839146951736,946.49280957569,906.294519178696,789.8842566392084,848.0893879089525,878.4615384615385,South
"Baker County, OR",16052,893.8577634309422,887.7113057064034,939.7287395047475,959.3824021287006,834.015110093585,848.4247437267094,841.219926910147,886.1538461538462,West
"Baldwin County, AL",195121,500.41219029333945,885.2687698164934,950.4652117960339,964.3797541332602,857.624528224991,864.759958247651,861.1922432363209,874.8825910931172,South
"Baldwin County, GA",45795,379.9262345917334,848.4196768794725,888.6468421902132,908.3005048141663,935.8696528687007,807.8512315272263,871.8604421979634,829.2307692307693,South
"Ballard County, KY",8256,881.4448793835627,875.3952414032801,941.5917176582462,961.2453802821997,844.7896007906306,813.5557674737533,829.1726841321924,860.0,South
"Baltimore County, MD",822959,882.482404466418,924.6560125920977,986.4396753470719,975.5152249182935,898.6546760855088,897.6125963444787,898.1336362149937,894.2697881828317,South
"Baltimore city, MD",622454,847.7394251111222,864.0471954716323,929.0717020461585,918.1472516173799,857.0519193312874,844.5452885093212,850.7986039203042,816.006216006216,South
"Bamberg County, SC",15432,430.46337464393423,854.8142551873066,901.9092389592174,921.5629015831707,837.785092942218,784.5905695040794,811.187831223149,886.923076923077,South
"Bandera County, TX",20796,547.7104838127605,910.0853595378152,954.9027216147093,963.6079294030138,867.8143738447036,843.5199694703244,855.667171657514,910.2564102564103,South
"Banks County, GA",18336,863.741209702453,857.5792130294863,905.3180639971678,924.9717266211208,838.2992632668933,773.0881651695611,805.6937142182272,865.0,South
"Banner County, NE",820,940.397637063938,934.200876485516,981.115663237392,1000.76932586135,898.4782155513859,860.393407761829,879.435811656607,944.923076923077,Midwest
"Bannock County, ID",83604,815.3515887530132,891.310262984179,916.8202927831775,934.0843233817194,892.978183988743,873.0487277149193,883.0134558518308,878.6461538461539,West
"Baraga County, MI",8690,574.7771376334117,855.902736042588,888.94598853823,908.599651162183,827.585937960052,804.2944521881304,815.940195074091,873.897435897436,Midwest
"Barber County, KS",4770,894.582509271442,888.586227406633,964.3010940927804,983.9547567167335,823.3027961099795,855.251964204087,839.2773801570329,866.9230769230769,Midwest
"Barbour County, AL",26932,848.4645923169153,842.2794675610593,885.5836028160959,905.2372654400492,845.8511991994532,771.4297140344005,808.6404566169269,835.2820512820513,South
"Barbour County, WV",16731,864.8474610947015,858.592024404619,892.7234686481615,912.3771312721148,920.4444603070708,790.2355447848812,855.3400025459762,830.0,South
"Barnes County, ND",11097,925.680388395065,919.6100424019783,986.2834434500403,1005.9371060739934,874.5150185611835,867.1151857969368,870.81510217906,906.9230769230772,Midwest
"Barnstable County, MA",214766,928.7009128372086,946.4589453427662,1003.8143795955705,1000.0844189410543,886.4995562751592,931.5997771548311,909.0496667149953,930.1754385964914,Northeast
"Barnwell County, SC",22098,428.54036639549867,850.912192069616,900.9490375950767,920.6027002190298,818.294269173604,779.90418357532,799.099226374462,841.6923076923077,South
"Barren County, KY",42925,609.162984728596,864.1120527995472,913.214337833336,932.8680004572892,831.6926884263481,798.8209064259588,815.2567974261535,855.8241758241758,South
"Barron County, WI",45686,718.0211008288409,891.3653799373482,938.4565463369725,958.110208960926,809.5211293526365,839.5952859608711,824.558207656754,916.6153846153852,Midwest
"Barrow County, GA",72012,863.6599321353808,861.7824999641008,917.6417488974372,923.6508773119994,841.6545031759669,801.2136254480689,821.4340643120179,849.7435897435897,South
"Barry County, MI",59147,494.34985254421844,903.2289626662365,952.9951038290691,962.8246018895322,853.0697100176269,852.2813931115531,852.6755515645901,902.3076923076924,Midwest
"Barry County, MO",35726,498.8264009981714,866.7336430512005,906.3141659339539,925.9678285579073,837.0235705411231,795.2044440232104,816.1140072821667,870.0000000000002,Midwest
"Bartholomew County, IN",79488,854.400551604323,909.2339419273887,959.0516161499471,978.8774220761535,852.6619971149885,879.3034225053765,865.9827098101824,896.4835164835165,Midwest
"Barton County, KS",27399,785.9085152451707,892.0123275754896,938.3240497905895,957.9777124145428,849.584001088918,823.3575378197613,836.4707694543399,900.4395604395604,Midwest
"Barton County, MO",12166,878.6142354066302,872.4219517595237,916.4275300421164,936.0811926660696,822.741459691067,813.4373772666271,818.089418478847,886.1538461538463,Midwest
"Bartow County, GA",101336,288.8695175712013,864.7362348932945,928.8109370156857,934.8200654302481,833.9388747945486,809.8919254850865,821.9154001398175,858.8615384615384,South
"Bastrop County, TX",76948,87.3912595662281,873.675833963352,940.7791952964566,941.5363684676838,835.8998860918773,788.3170326221408,812.108459357009,878.461538461538,South
"Bates County, MO",16643,886.5791103204552,883.4528670291522,922.3129090158102,932.1424070762737,850.1182143404335,807.148666397058,828.6334403687457,906.1538461538448,Midwest
"Bath County, KY",11978,560.0842031016227,833.9059561144429,890.3085843551444,909.9622469790976,832.3109811601499,755.9707899531822,794.1408855566664,855.3846153846155,South
"Bath County, VA",4583,0.0,,983.153333005497,1002.80699562945,838.7373942929501,841.513112996003,840.125253644476,,South
"Baxter County, AR",41040,787.3102252827375,879.5636767462868,929.3682507377905,949.0219133617437,857.8877118788166,830.4083574001057,844.1480346394615,854.8846153846154,South
"Bay County, FL",175353,682.8146681308034,880.8227978550224,942.9959116985639,952.0214923140222,852.5914437198403,852.420213627154,852.5058286734971,862.3296703296702,South
"Bay County, MI",106698,827.2465496507039,887.6535564490554,932.4790732141412,950.7626064321212,880.0831151979206,834.9815751574054,857.5323451776629,877.5562130177515,Midwest
"Bayfield County, WI",15050,618.5914172144643,921.6174705255625,954.6983442346645,974.352006858618,870.2583339567773,893.8513388028875,882.0548363798323,921.692307692308,Midwest
"Baylor County, TX",3628,0.0,,986.592555734103,1006.24621835806,883.266416455733,852.415184764787,867.84080061026,,South
"Beadle County, SD",18168,897.7612850412446,891.6357293726909,947.1868184559427,966.8404810798962,843.9690875343632,812.8326559183029,828.4008717263329,904.1025641025641,Midwest
"Bear Lake County, ID",5939,899.0358006444644,892.8138388094511,933.4114481328136,953.0651107567664,776.902925314731,849.1374963891355,813.020210851933,938.4615384615385,West
"Beaufort County, NC",47561,723.6797674787928,878.3880340229908,928.4790748825344,948.132737506488,854.8435810782928,818.6137735861644,836.7286773322285,857.2649572649575,South
"Beaufort County, SC",171420,863.615368921318,928.9118903198279,983.359959542104,992.5459817354479,840.5404072296982,914.882598991249,877.7115031104735,929.4792899408284,South
"Beauregard Parish, LA",36259,613.43783773181,852.8228769478322,929.4737055047175,949.1273681286709,782.0123651788127,802.0029125214005,792.0076388501067,843.6923076923076,South
"Beaver County, OK",5530,901.4033931339881,895.3022279389647,954.825553886206,974.4792165101593,863.8862695305853,813.227084476081,838.556677003333,896.923076923077,South
"Beaver County, PA",169785,862.7564409748207,895.3827586712904,947.3242049205679,955.5501238941439,876.3191674357121,855.3792865554977,865.849226995605,878.4583987441131,Northeast
"Beaver County, UT",6461,904.540388487124,898.2057602820109,922.324798679607,941.9784613035599,845.382550901634,851.4619371856215,848.422244043628,926.153846153846,West
"Beaverhead County, MT",9291,935.2843773502227,928.9765156187686,958.5335757049161,978.1872383288706,932.7581209654663,887.3775202542328,910.0678206098493,920.0,West
"Becker County, MN",33138,917.4147674070734,911.1908275638591,952.8098240635805,972.4634866875334,851.6627899300905,861.4415673757296,856.5521786529101,928.4615384615387,Midwest
"Beckham County, OK",23300,864.4629639379157,858.4780106982417,934.3722661188796,954.0259287428332,796.9029834224493,808.332715977784,802.6178497001167,844.6153846153848,South
"Bedford County, PA",49086,806.2874812055475,880.7687956040894,933.2741474630261,952.9278100869793,810.2515204351186,813.9595460767579,812.1055332559383,902.4615384615387,Northeast
"Bedford County, TN",45986,771.3846262239354,861.6887444630147,916.5440956767575,936.1977583007111,823.8211792140078,789.0439069635796,806.4325430887935,865.5769230769232,South
"Bedford County, VA",76463,740.1489620771698,894.31845730852,960.7640724510145,975.1763276977608,845.4569819723629,851.9512624957677,848.7041222340649,884.2857142857143,South
"Bee County, TX",32659,610.1328500272923,847.9452817466341,894.8961701914934,914.5498328154466,815.8025258339995,759.4361833692141,787.6193546016069,876.2153846153844,South
"Belknap County, NH",60399,750.5899892657018,932.0725475976287,983.5166134216377,1003.1702760455913,882.8736520451382,890.3447990312384,886.6092255381883,922.4102564102565,Northeast
"Bell County, KY",27950,829.1821840787755,822.925994239219,855.4698141478742,875.1234767718272,833.347715924706,730.1484814970155,781.7480987108606,834.0170940170939,South
"Bell County, TX",326041,576.7740474333866,867.9290977513448,920.7278979604898,933.1590660396658,840.3380656219808,836.219044403409,838.2785550126949,872.9230769230769,South
"Belmont County, OH",69560,794.7856254361976,876.1486871984762,927.0290634656179,949.2857037325815,867.9449093152882,827.0195323215337,847.4822208184111,856.6666666666665,Midwest
"Beltrami County, MN",45434,535.3395221880405,885.914386928032,925.0342758302335,944.6879384541868,880.1073904474094,871.0256445079665,875.5665174776881,889.9999999999999,Midwest
